lgdCode,name,nameTa,typeCode
252738,Musiri,முசிறி,5
252813,Muthupet,முத்துப்பேட்டை,7
252585,Muthur,முத்தூர்,7
253083,Mylaudy,மயிலாடி,7
252599,Naduvattam,நடுவட்டம்,7
299500,Nagapattinam,Nagapattinam,5
253079,Nagercoil,Nagercoil,4
252410,Nagojanahalli,நாகோஜனஹள்ளி,7
252555,Nallampatti,நல்லம்பட்டி,7
260663,Nalloor,நல்லூர்,7
252514,Namagiripettai,நாமகிரிப்பேட்டை,7
252518,Namakkal,Namakkal,5
252550,Nambiyur,நம்பியூர்,7
252329,Nandivaram - Guduvancheri,நந்திரவரம்-கூடுவாஞ்சேரி,5
252459,Nangavalli,நங்கவள்ளி,7
252733,Nangavaram,நங்கவரம்,7
253026,Nanguneri,நாங்குனேரி,7
252807,Nannilam,நன்னிலம்,7
253010,Naranammalpuram,நாரணம்மாள்புரம்,7
260290,Narasimhanaickenpalayam,நரசிம்மநாய்க்கன்பாளையம்,7
252363,Narasingapuram,Narasingapuram,5
252283,Naravarikuppam,நாரவாரிக்குப்பம்,7
252565,Nasiyanur,நசியனூர்,7
252701,Natham,நத்தம்,7
252396,Natrampalli,நாட்ராம்பள்ளி,7
252865,Nattarasankottai,நாட்டரசன்கோட்டை,7
252983,Nazerath,நாசரேத்,7
252809,Needamangalam,நீடாமங்கலம்,7
252693,Neikkarapatti,நெய்காரப்பட்டி,7
252769,Nellikuppam,Nellikuppam,5
252594,Nelliyalam,Nelliyalam,5
252369,Nemili,நெமிலி,7
252532,Nerinjipettai,நெருஞ்சிபேட்டை,7
252855,Nerkuppai,நெற்குப்பை,7
253066,Neyyoor,நெய்யூர்,7
252715,Nilakkottai,நிலக்கோட்டை,7
260291,No. 4 Veerapandi,வீரபாண்டி,7
252914,Odaipatti,ஓடைப்பட்டி,7
252679,Odaiyakulam,ஒடையகுளம்,7
252695,Oddanchatram,Oddanchatram,5
252389,Odugathur,ஒடுக்கத்தூர்,7
252534,Olagadam,ஒலகடம்,7
252464,Omalur,ஓமலூர்,7
252837,Orathanadu,ஒரந்தநாடு,7
252668,Othakalmandapam,ஒத்தக்கால்மண்டபம்,7
252597,O Valley,ஓவேலி,7
253037,Pacode,பாகோடு,7
252500,Padaiveedu,படவீடு,7
253061,Padmanabhapuram,Padmanabhapuram,5
252409,Palakkodu,பாலக்கோடு,7
252880,Palamedu,பாலமேடு,7
252692,Palani,Palani,5
252906,Palani Chettipatti,பழனிசெட்டிபட்டி,7
260292,Palappallam,பாலப்பள்ளம்,7
252696,Palayam,பாளையம்,7
252636,Palladam,Palladam,5
252552,Pallapalayam,பள்ளபாளையம்,7
252633,Pallapalayam,பள்ளப்பாளையம்,7
252720,Pallapatti,பள்ளப்பட்டி,5
252859,Pallathur,பள்ளத்தூர்,7
252377,Pallikonda,பள்ளிக்கொண்டா,7
252506,Pallipalayam,Pallipalayam,5
252270,Pallipattu,பள்ளிப்பட்டு,7
253035,Palugal,பழுகல்,7
253031,Panagudi,பணகுடி,7
252481,Panaimarathupatti,பனமரத்துப்பட்டி,7
252372,Panapakkam,பனப்பாக்கம்,7
252525,Pandamangalam,பாண்டமங்கலம்,7
252712,Pannaikadu,பண்ணைக்காடு,7
252911,Pannaipuram,பண்ணைபுரம்,7
253004,Panpoli,பன்பொழி,7
252770,Panruti,Panruti,5
252826,Papanasam,பாபநாசம்,7
252484,Papparapatti,பாப்பாரப்பட்டி,7
252416,Pappireddipatti,பாப்பிரெட்டிப்பட்டி,7
252952,Paramakudi,Paramakudi,5
252522,Paramathi,பரமத்தி,7
252777,Parangipettai,பரங்கிப்பேட்டை,7
252872,Paravai,பரவை,7
252574,Pasur,பாசூர்,7
253020,Pathamadai,பத்தமடை,7
252511,Pattanam,பட்டணம்,7
252717,Pattiveeranpatti,பட்டிவீரன்பட்டி,7
252839,Pattukkottai,Pattukkottai,5
252790,Pennadam,பெண்ணாடம்,7
252419,Pennagaram,பென்னாகரம்,7
252388,Pennathur,பென்னாத்தூர்,7
252886,Peraiyur,பேரையூர்,7
252806,Peralam,பேரளம்,7
252762,Perambalur,Perambalur,5
252425,Peranamallur,பெரணமல்லூர்,7
252841,Peravurani,பேரவூரணி,7
252541,Periyakodiveri,பெரியகொடிவேரி,7
252902,Periyakulam,Periyakulam,5
252638,Periyanaickenpalayam,பெரியநாய்க்கன்பாளையம்,7
252671,Periya Negamam,பெரியநெகமம்,7
252350,Pernambut,பேரணாம்பட்டு,5
252842,Perumagalur,பெருமகளூர்,7
252558,Perundurai,பெருந்துறை,5
252974,Perungulam,பெருங்குளம்,7
252661,Perur,பேரூர்,7
252551,Pethampalayam,பெத்தாம்பாளையம்,7
252490,Pethanaickenpalayam,பெத்தநாயக்கன்பாளையம்,7
252515,Pillanallur,பிள்ளாநல்லூர்,7
252730,P.J. Cholapuram,பி.ஜே சோழபுரம்,7
252543,P.Mettupalayam,பி மேட்டுப்பாளையம்,7
252458,P.N.Patti,பி என் பட்டி,7
252674,Pollachi,Pollachi,5
252429,Polur,போளூர்,5
253051,Ponmanai,பொன்மனை,7
252849,Ponnamaravathi,பொன்னமராவதி,7
252758,Ponnampatti,பொன்னம்பட்டி,7
252264,Ponneri,பொன்னேரி,5
252759,Poolambadi,பூலாம்பாடி,7
252467,Poolampatti,பூலாம்பட்டி,7
252659,Pooluvapatti,பூலுவப்பட்டி,7
252278,Poonamallee,Poonamallee,5
260293,Poovalur,பூவாளுர்,7
252524,Pothanur,பொத்தனூர்,7
252271,Pothatturpettai,பொதட்டூர்பேட்டை,7
252848,Pudukkottai,Pudukkottai,5
252431,Pudupalayam,புதுப்பாளையம்,7
252917,Pudupatti,புதுப்பட்டி,7
253005,Pudur (S),புதூர் (எஸ்),7
252862,Puduvayal,புதுவயல்,7
300381,Pugalur,புகலூர்,5
252990,Puliangudi,புளியங்குடி,5
252726,Puliyur,புலியூர்,7
252745,Pullampadi,புல்லம்பாடி,7
252531,Punjaipuliampatti,Punjaipuliampatti,5
252723,Punjai Thottakurichi,புஞ்சைதோட்டக்குறிச்சி,7
253085,Puthalam,புத்தளம்,7
